algorithm,n_selected,n_removed,condition_number,max_correlation,mean_correlation,max_coherence,mean_coherence,max_sv,min_sv,selected_columns,removed_columns
condition,6,3,12.814722562654053,0.6281265073643556,0.2560854499395507,0.9431478690339802,0.9035049105358671,0.2605154136682437,0.020329383831333477,"E2, E3, E5, E7, E8, E9","E6, E1, E4"
hybrid,6,3,12.814722562654053,0.6281265073643556,0.2560854499395507,0.9431478690339802,0.9035049105358671,0.2605154136682437,0.020329383831333477,"E2, E3, E5, E7, E8, E9","E6, E1, E4"
coherence,6,3,13.58320573431164,0.6281265073643556,0.31154072888559187,0.9431478690339802,0.8960234296805764,0.2592203339316211,0.019083884835582057,"E2, E3, E4, E5, E7, E8","E6, E1, E9"
residual,6,3,13.58320573431164,0.6281265073643556,0.31154072888559187,0.9431478690339802,0.8960234296805764,0.2592203339316211,0.019083884835582057,"E2, E3, E4, E5, E7, E8","E6, E1, E9"
qr,6,3,13.583205734311642,0.6281265073643556,0.31154072888559187,0.9431478690339802,0.8960234296805764,0.2592203339316212,0.019083884835582064,"E8, E3, E7, E4, E2, E5","E6, E1, E9"
energy,6,3,13.697663686389474,0.6281265073643556,0.2514584320936887,0.9532939629379577,0.9019025073299018,0.2620470009488755,0.0191307807629454,"E2, E3, E4, E7, E8, E9","E1, E5, E6"
leverage,6,3,13.69766368638948,0.6281265073643556,0.2514584320936887,0.9532939629379577,0.9019025073299018,0.26204700094887545,0.019130780762945398,"E2, E3, E4, E7, E8, E9","E1, E5, E6"
correlation,6,3,14.516005994933977,0.6281265073643556,0.2470602252462257,0.9532939629379577,0.9044051043079807,0.261362102150068,0.018005097424269628,"E3, E4, E5, E7, E8, E9","E6, E1, E2"
