algorithm,n_selected,n_removed,condition_number,max_correlation,mean_correlation,max_coherence,mean_coherence,max_sv,min_sv,selected_columns,removed_columns
leverage,8,1,20.590496555513454,0.6281265073643556,0.3010287507217666,0.9604743070516923,0.9080706949997344,0.2968106634958677,0.0144149347100807,"E1, E2, E3, E4, E5, E7, E8, E9",E6
coherence,8,1,20.590496555513468,0.6281265073643556,0.30102875072176655,0.9604743070516923,0.9080706949997345,0.2968106634958678,0.01441493471008068,"E1, E2, E3, E4, E5, E7, E8, E9",E6
condition,8,1,20.590496555513468,0.6281265073643556,0.30102875072176655,0.9604743070516923,0.9080706949997345,0.2968106634958678,0.01441493471008068,"E1, E2, E3, E4, E5, E7, E8, E9",E6
correlation,8,1,20.590496555513468,0.6281265073643556,0.30102875072176655,0.9604743070516923,0.9080706949997345,0.2968106634958678,0.01441493471008068,"E1, E2, E3, E4, E5, E7, E8, E9",E6
hybrid,8,1,20.590496555513468,0.6281265073643556,0.30102875072176655,0.9604743070516923,0.9080706949997345,0.2968106634958678,0.01441493471008068,"E1, E2, E3, E4, E5, E7, E8, E9",E6
residual,8,1,20.590496555513468,0.6281265073643556,0.30102875072176655,0.9604743070516923,0.9080706949997345,0.2968106634958678,0.01441493471008068,"E1, E2, E3, E4, E5, E7, E8, E9",E6
qr,8,1,20.59049655551347,0.6281265073643556,0.3010287507217666,0.9604743070516923,0.9080706949997345,0.2968106634958678,0.014414934710080674,"E8, E3, E7, E4, E2, E5, E9, E1",E6
energy,8,1,20.59049655551348,0.6281265073643556,0.3010287507217666,0.9604743070516923,0.9080706949997346,0.29681066349586793,0.014414934710080676,"E1, E2, E3, E4, E5, E7, E8, E9",E6
