algorithm,n_selected,n_removed,condition_number,max_correlation,mean_correlation,max_coherence,mean_coherence,max_sv,min_sv,selected_columns,removed_columns
energy,7,2,15.568152993888233,0.6281265073643556,0.2715765445072107,0.9532939629379577,0.9038408997833006,0.28011734291361584,0.017992972128651658,"E2, E3, E4, E5, E7, E8, E9","E1, E6"
leverage,7,2,15.568152993888233,0.6281265073643556,0.2715765445072107,0.9532939629379577,0.9038408997833006,0.28011734291361595,0.01799297212865165,"E2, E3, E4, E5, E7, E8, E9","E1, E6"
qr,7,2,15.568152993888235,0.6281265073643556,0.2715765445072107,0.9532939629379577,0.9038408997833007,0.28011734291361584,0.01799297212865165,"E8, E3, E7, E4, E2, E5, E9","E6, E1"
coherence,7,2,15.568152993888239,0.6281265073643556,0.27157654450721075,0.9532939629379577,0.9038408997833006,0.28011734291361584,0.017992972128651655,"E2, E3, E4, E5, E7, E8, E9","E6, E1"
condition,7,2,15.568152993888239,0.6281265073643556,0.27157654450721075,0.9532939629379577,0.9038408997833006,0.28011734291361584,0.017992972128651655,"E2, E3, E4, E5, E7, E8, E9","E6, E1"
correlation,7,2,15.568152993888239,0.6281265073643556,0.27157654450721075,0.9532939629379577,0.9038408997833006,0.28011734291361584,0.017992972128651655,"E2, E3, E4, E5, E7, E8, E9","E6, E1"
hybrid,7,2,15.568152993888239,0.6281265073643556,0.27157654450721075,0.9532939629379577,0.9038408997833006,0.28011734291361584,0.017992972128651655,"E2, E3, E4, E5, E7, E8, E9","E6, E1"
residual,7,2,15.568152993888239,0.6281265073643556,0.27157654450721075,0.9532939629379577,0.9038408997833006,0.28011734291361584,0.017992972128651655,"E2, E3, E4, E5, E7, E8, E9","E6, E1"
